x1,y1,x2,y2,counter
0,18,3,18,1
10,18,13,18,2
14,18,17,18,3
24,18,27,18,4
28,18,31,18,5
38,18,41,18,6
42,18,45,18,7
52,18,55,18,8
56,18,59,18,9
66,18,69,18,10
70,18,73,18,11
80,18,83,18,12
84,18,87,18,13
94,18,97,18,14
98,18,101,18,15
108,18,111,18,16
