n,t,x,y,p
zombie0,0.0,12.75,-9.75,10
zombie0,0.36,13.25,-9.75,10
zombie0,0.72,13.75,-9.25,10
zombie0,1.08,14.25,-9.25,10
zombie1,0.0,9.75,-6.75,10
zombie1,0.36,9.75,-7.25,10
zombie1,0.72,10.25,-7.75,10
zombie1,1.08,10.75,-8.25,10
zombie1,1.44,11.25,-8.75,10
zombie1,1.7999999999999998,11.75,-8.75,10
zombie1,2.16,12.25,-9.25,10
zombie1,2.52,12.75,-8.75,10
zombie1,2.88,13.25,-8.75,10
zombie1,3.2399999999999998,13.75,-9.25,10
zombie1,3.5999999999999996,14.25,-9.25,10
zombie2,0.0,9.75,-4.75,10
zombie2,0.36,9.25,-5.25,10
zombie2,0.72,9.25,-5.75,10
zombie2,1.08,9.75,-6.25,10
zombie2,1.44,10.25,-6.75,10
zombie2,1.7999999999999998,9.75,-7.25,10
zombie2,2.16,10.25,-7.75,10
zombie2,2.52,10.75,-8.25,10
zombie2,2.88,11.25,-8.75,10
zombie2,3.2399999999999998,11.75,-8.75,10
zombie2,3.5999999999999996,12.25,-9.25,10
zombie2,3.96,12.75,-8.75,10
zombie2,4.32,13.25,-8.75,10
zombie2,4.68,13.75,-9.25,10
zombie2,5.04,14.25,-9.25,10
zombie3,0.0,7.25,-0.25,10
zombie3,0.36,6.75,-0.75,10
zombie3,0.72,7.25,-1.25,10
zombie3,1.08,7.25,-1.75,10
zombie3,1.44,7.75,-2.25,10
zombie3,1.7999999999999998,7.25,-2.75,10
zombie3,2.16,6.75,-3.25,10
zombie3,2.52,6.75,-3.75,10
zombie3,2.88,7.25,-4.25,10
zombie3,3.2399999999999998,7.75,-4.75,10
zombie3,3.5999999999999996,8.25,-5.25,10
zombie3,3.96,8.25,-5.75,10
zombie3,4.32,8.75,-6.25,10
zombie3,4.68,9.25,-6.75,10
zombie3,5.04,9.75,-7.25,10
zombie3,5.3999999999999995,10.25,-7.75,10
zombie3,5.76,10.75,-8.25,10
zombie3,6.12,11.25,-8.75,10
zombie3,6.4799999999999995,11.75,-8.75,10
zombie3,6.84,12.25,-9.25,10
zombie3,7.199999999999999,12.75,-8.75,10
zombie3,7.56,13.25,-8.75,10
zombie3,7.92,13.75,-9.25,10
zombie3,8.28,14.25,-9.25,10
zombie4,0.0,2.75,-3.75,10
zombie4,0.36,3.25,-3.75,10
zombie4,0.72,3.75,-3.25,10
zombie4,1.08,4.25,-2.75,10
zombie4,1.44,4.75,-3.25,10
zombie4,1.7999999999999998,5.25,-3.75,10
zombie4,2.16,5.75,-4.25,10
zombie4,2.52,6.25,-4.25,10
zombie4,2.88,6.75,-4.75,10
zombie4,3.2399999999999998,7.25,-4.75,10
zombie4,3.5999999999999996,7.75,-5.25,10
zombie4,3.96,7.75,-5.75,10
zombie4,4.32,8.25,-6.25,10
zombie4,4.68,8.75,-6.75,10
zombie4,5.04,9.25,-6.25,10
zombie4,5.3999999999999995,9.25,-6.75,10
zombie4,5.76,9.75,-7.25,10
zombie4,6.12,10.25,-7.75,10
zombie4,6.4799999999999995,10.75,-8.25,10
zombie4,6.84,11.25,-8.75,10
zombie4,7.199999999999999,11.75,-9.25,10
zombie4,7.56,12.25,-8.75,10
zombie4,7.92,12.75,-8.25,10
zombie4,8.28,13.25,-8.25,10
zombie4,8.64,13.75,-8.75,10
zombie4,9.0,14.25,-8.25,10
zombie5,0.0,1.75,-8.25,10
zombie5,0.36,2.25,-8.25,10
zombie5,0.72,2.75,-7.75,10
zombie5,1.08,3.25,-8.25,10
zombie5,1.44,3.75,-8.75,10
zombie5,1.7999999999999998,4.25,-9.25,10
zombie5,2.16,4.75,-8.75,10
zombie5,2.52,5.25,-8.75,10
zombie5,2.88,5.75,-8.25,10
zombie5,3.2399999999999998,6.25,-8.75,10
zombie5,3.5999999999999996,6.75,-8.75,10
zombie5,3.96,7.25,-9.25,10
zombie5,4.32,7.75,-8.75,10
zombie5,4.68,8.25,-8.75,10
zombie5,5.04,8.75,-9.25,10
zombie5,5.3999999999999995,9.25,-9.25,10
zombie5,5.76,9.75,-9.25,10
zombie5,6.12,10.25,-9.75,10
zombie5,6.4799999999999995,10.75,-9.25,10
zombie5,6.84,11.25,-9.25,10
zombie5,7.199999999999999,11.75,-8.75,10
zombie5,7.56,12.25,-9.25,10
zombie5,7.92,12.75,-8.75,10
zombie5,8.28,13.25,-8.75,10
zombie5,8.64,13.75,-9.25,10
zombie5,9.0,14.25,-9.25,10
zombie6,0.0,2.75,-0.25,10
zombie6,0.36,3.25,-0.75,10
zombie6,0.72,3.75,-1.25,10
zombie6,1.08,4.25,-1.75,10
zombie6,1.44,4.75,-2.25,10
zombie6,1.7999999999999998,5.25,-2.75,10
zombie6,2.16,5.75,-3.25,10
zombie6,2.52,6.25,-3.75,10
zombie6,2.88,6.75,-4.25,10
zombie6,3.2399999999999998,6.25,-4.75,10
zombie6,3.5999999999999996,6.75,-4.75,10
zombie6,3.96,7.25,-4.75,10
zombie6,4.32,7.75,-5.25,10
zombie6,4.68,8.25,-5.75,10
zombie6,5.04,8.75,-6.25,10
zombie6,5.3999999999999995,8.75,-6.75,10
zombie6,5.76,9.25,-6.25,10
zombie6,6.12,9.75,-6.75,10
zombie6,6.4799999999999995,10.25,-7.25,10
zombie6,6.84,10.25,-7.75,10
zombie6,7.199999999999999,10.75,-8.25,10
zombie6,7.56,11.25,-8.75,10
zombie6,7.92,11.75,-8.75,10
zombie6,8.28,12.25,-9.25,10
zombie6,8.64,12.75,-8.75,10
zombie6,9.0,13.25,-8.75,10
zombie6,9.36,13.75,-9.25,10
zombie6,9.719999999999999,14.25,-9.25,10
zombie7,0.0,1.75,-1.25,10
zombie7,0.36,2.25,-1.25,10
zombie7,0.72,2.75,-1.75,10
zombie7,1.08,3.25,-2.25,10
zombie7,1.44,3.75,-1.75,10
zombie7,1.7999999999999998,4.25,-2.25,10
zombie7,2.16,4.75,-2.25,10
zombie7,2.52,5.25,-2.75,10
zombie7,2.88,5.75,-3.25,10
zombie7,3.2399999999999998,6.25,-3.75,10
zombie7,3.5999999999999996,6.75,-3.75,10
zombie7,3.96,7.25,-4.25,10
zombie7,4.32,7.75,-4.75,10
zombie7,4.68,8.25,-5.25,10
zombie7,5.04,8.75,-5.75,10
zombie7,5.3999999999999995,9.25,-5.75,10
zombie7,5.76,9.75,-6.25,10
zombie7,6.12,10.25,-6.75,10
zombie7,6.4799999999999995,9.75,-7.25,10
zombie7,6.84,9.75,-7.75,10
zombie7,7.199999999999999,10.25,-8.25,10
zombie7,7.56,10.75,-7.75,10
zombie7,7.92,11.25,-8.25,10
zombie7,8.28,11.75,-7.75,10
zombie7,8.64,12.25,-7.75,10
zombie7,9.0,12.75,-8.25,10
zombie7,9.36,13.25,-8.25,10
zombie7,9.719999999999999,13.75,-8.75,10
zombie7,10.08,14.25,-8.25,10
zombie8,0.0,1.75,-4.75,10
zombie8,0.36,2.25,-4.25,10
zombie8,0.72,2.75,-3.75,10
zombie8,1.08,3.25,-3.75,10
zombie8,1.44,3.75,-3.25,10
zombie8,1.7999999999999998,4.25,-2.75,10
zombie8,2.16,4.75,-3.25,10
zombie8,2.52,5.25,-3.75,10
zombie8,2.88,5.75,-4.25,10
zombie8,3.2399999999999998,6.25,-4.25,10
zombie8,3.5999999999999996,6.75,-4.25,10
zombie8,3.96,6.25,-4.25,10
zombie8,4.32,6.75,-4.75,10
zombie8,4.68,7.25,-4.75,10
zombie8,5.04,7.75,-5.25,10
zombie8,5.3999999999999995,8.25,-5.75,10
zombie8,5.76,8.75,-6.25,10
zombie8,6.12,9.25,-6.75,10
zombie8,6.4799999999999995,9.25,-7.25,10
zombie8,6.84,9.75,-7.25,10
zombie8,7.199999999999999,10.25,-7.25,10
zombie8,7.56,10.25,-7.75,10
zombie8,7.92,10.75,-8.25,10
zombie8,8.28,11.25,-8.75,10
zombie8,8.64,11.75,-8.75,10
zombie8,9.0,12.25,-9.25,10
zombie8,9.36,12.75,-8.75,10
zombie8,9.719999999999999,13.25,-8.75,10
zombie8,10.08,13.75,-9.25,10
zombie8,10.44,14.25,-9.25,10
zombie9,0.0,0.75,-6.75,10
zombie9,0.36,0.75,-7.25,10
zombie9,0.72,1.25,-7.25,10
zombie9,1.08,1.75,-7.25,10
zombie9,1.44,1.75,-6.75,10
zombie9,1.7999999999999998,2.25,-6.75,10
zombie9,2.16,2.75,-6.25,10
zombie9,2.52,3.25,-5.75,10
zombie9,2.88,3.75,-6.25,10
zombie9,3.2399999999999998,4.25,-5.75,10
zombie9,3.5999999999999996,4.75,-5.25,10
zombie9,3.96,5.25,-4.75,10
zombie9,4.32,5.75,-4.25,10
zombie9,4.68,6.25,-4.25,10
zombie9,5.04,6.75,-4.75,10
zombie9,5.3999999999999995,7.25,-4.75,10
zombie9,5.76,7.75,-5.25,10
zombie9,6.12,8.25,-5.75,10
zombie9,6.4799999999999995,8.75,-6.25,10
zombie9,6.84,9.25,-6.75,10
zombie9,7.199999999999999,9.25,-7.25,10
zombie9,7.56,9.75,-7.25,10
zombie9,7.92,9.75,-7.75,10
zombie9,8.28,10.25,-8.25,10
zombie9,8.64,10.75,-8.25,10
zombie9,9.0,11.25,-8.75,10
zombie9,9.36,11.75,-8.75,10
zombie9,9.719999999999999,12.25,-9.25,10
zombie9,10.08,12.75,-8.75,10
zombie9,10.44,13.25,-8.75,10
zombie9,10.799999999999999,13.75,-9.25,10
zombie9,11.16,14.25,-9.25,10
