line
0,0,c1,tabu,right
1,0,c1,tabu,right
2,0,c1,tabu,right
3,0,c1,tabu,right
4,0,c1,tabu,right
5,0,c1,tabu,right
6,0,c1,tabu,right
7,0,c1,tabu,right
8,0,c1,tabu,right
9,0,c1,tabu,right
10,0,c1,tabu,right
11,0,c1,tabu,right
12,0,c1,tabu,right
13,0,c1,tabu,right
14,0,c1,tabu,right
15,0,c1,tabu,right
16,0,c1,tabu,right
17,0,c1,tabu,right
18,0,c1,tabu,right
19,0,c1,tabu,right
20,0,c1,tabu,right
21,0,c1,tabu,right
22,0,c1,tabu,right
23,0,c1,tabu,right
24,0,c1,tabu,right
25,0,c1,tabu,right
26,3,c1,tabu,right
27,3,c1,tabu,right
28,3,c1,tabu,right
29,3,c1,tabu,right
30,3,c1,tabu,right
31,4,c1,tabu,right
32,5,c1,tabu,right
33,5,c1,tabu,right
34,5,c1,tabu,right
35,5,c1,tabu,right
36,5,c1,tabu,right
37,7,c1,tabu,right
38,8,c1,tabu,right
39,8,c1,tabu,right
40,8,c1,tabu,right
41,9,c1,tabu,right
42,13,c1,tabu,right
43,18,c1,tabu,right
44,21,c1,tabu,right
45,23,c1,tabu,right
46,25,c1,tabu,right
47,30,c1,tabu,right
48,35,c1,tabu,right
49,40,c1,tabu,right
50,45,c1,tabu,right
51,50,c1,tabu,right
52,52,c1,tabu,right
53,57,c1,tabu,right
54,57,c1,tabu,right
55,60,c1,tabu,right
56,63,c1,tabu,right
57,64,c1,tabu,right
58,64,c1,tabu,right
59,68,c1,tabu,right
60,73,c1,tabu,right
61,75,c1,tabu,right
62,78,c1,tabu,right
63,83,c1,tabu,right
64,87,c1,tabu,right
65,89,c1,tabu,right
66,93,c1,tabu,right
67,98,c1,tabu,right
68,102,c1,tabu,right
69,102,c1,tabu,right
70,102,c1,tabu,right
71,102,c1,tabu,right
72,107,c1,tabu,right
73,109,c1,tabu,right
74,109,c1,tabu,right
75,111,c1,tabu,right
76,116,c1,tabu,right
77,116,c1,tabu,right
78,117,c1,tabu,right
79,122,c1,tabu,right
80,127,c1,tabu,right
81,127,c1,tabu,right
82,127,c1,tabu,right
83,128,c1,tabu,right
84,128,c1,tabu,right
85,128,c1,tabu,right
86,128,c1,tabu,right
87,128,c1,tabu,right
88,128,c1,tabu,right
89,128,c1,tabu,right
90,128,c1,tabu,right
91,128,c1,tabu,right
92,128,c1,tabu,right
93,128,c1,tabu,right
94,128,c1,tabu,right
95,133,c1,tabu,right
96,136,c1,tabu,right
97,141,c1,tabu,right
98,146,c1,tabu,right
99,151,c1,tabu,right
100,155,c1,tabu,right
101,159,c1,tabu,right
102,164,c1,tabu,right
103,169,c1,tabu,right
104,174,c1,tabu,right
105,179,c1,tabu,right
106,184,c1,tabu,right
107,189,c1,tabu,right
108,193,c1,tabu,right
109,197,c1,tabu,right
110,201,c1,tabu,right
111,203,c1,tabu,right
112,207,c1,tabu,right
113,210,c1,tabu,right
114,213,c1,tabu,right
115,213,c1,tabu,right
116,215,c1,tabu,right
117,218,c1,tabu,right
118,218,c1,tabu,right
119,222,c1,tabu,right
120,223,c1,tabu,right
121,223,c1,tabu,right
122,224,c1,tabu,right
123,229,c1,tabu,right
124,232,c1,tabu,right
125,232,c1,tabu,right
126,232,c1,tabu,right
127,232,c1,tabu,right
128,234,c1,tabu,right
129,235,c1,tabu,right
130,240,c1,tabu,right
131,243,c1,tabu,right
132,243,c1,tabu,right
133,245,c1,tabu,right
134,248,c1,tabu,right
135,248,c1,tabu,right
136,248,c1,tabu,right
137,248,c1,tabu,right
138,248,c1,tabu,right
139,249,c1,tabu,right
140,253,c1,tabu,right
141,256,c1,tabu,right
142,261,c1,tabu,right
143,266,c1,tabu,right
144,270,c1,tabu,right
145,273,c1,tabu,right
146,275,c1,tabu,right
147,277,c1,tabu,right
148,281,c1,tabu,right
149,286,c1,tabu,right
150,291,c1,tabu,right
151,296,c1,tabu,right
152,301,c1,tabu,right
153,306,c1,tabu,right
154,311,c1,tabu,right
155,315,c1,tabu,right
156,319,c1,tabu,right
157,322,c1,tabu,right
158,325,c1,tabu,right
159,327,c1,tabu,right
160,327,c1,tabu,right
161,327,c1,tabu,right
162,332,c1,tabu,right
163,333,c1,tabu,right
164,334,c1,tabu,right
165,339,c1,tabu,right
166,339,c1,tabu,right
167,339,c1,tabu,right
168,340,c1,tabu,right
169,345,c1,tabu,right
170,349,c1,tabu,right
171,350,c1,tabu,right
172,352,c1,tabu,right
173,355,c1,tabu,right
174,356,c1,tabu,right
175,360,c1,tabu,right
176,363,c1,tabu,right
177,363,c1,tabu,right
178,363,c1,tabu,right
179,365,c1,tabu,right
180,365,c1,tabu,right
181,365,c1,tabu,right
182,367,c1,tabu,right
183,369,c1,tabu,right
