n,t,x,y,p
zombie0,0.0,12.0,-7.0,1
zombie0,0.5,12.7,-7.0,1
zombie0,0.7,13.0,-7.0,1
zombie0,1.0,13.4,-7.0,1
zombie0,1.43,14.0,-7.0,1
zombie0,1.5,14.1,-7.0,1
zombie0,2.0,14.8,-7.0,1
zombie0,2.1,15.0,-7.0,1
zombie0,2.5,15.5,-7.0,1
zombie0,2.86,16.0,-7.0,1
zombie0,3.0,16.2,-7.0,1
zombie0,3.5,16.9,-7.0,1
zombie0,4.0,17.6,-7.0,1
zombie0,4.3,18.0,-7.0,1
zombie0,4.5,18.3,-7.0,1
zombie0,5.0,19.0,-7.0,1
zombie0,5.5,19.7,-7.0,1
zombie0,5.7,20.0,-7.0,1
zombie0,6.0,20.28,-7.28,1
zombie0,6.43,21.0,-8.0,1
zombie0,6.5,21.07,-8.07,1
zombie0,7.0,21.86,-8.86,1
zombie0,7.1,22.0,-9.0,1
zombie0,7.5,22.35,-9.35,1
zombie0,7.86,23.0,-10.0,1
zombie0,8.0,23.14,-10.14,1
zombie0,8.5,23.93,-10.93,1
zombie0,9.0,24.72,-11.72,1
zombie0,9.3,25.0,-12.0,1
zombie0,9.5,25.21,-12.21,1
zombie0,10.0,26.0,-13.0,1
zombie0,10.5,26.79,-13.79,1
zombie0,10.7,27.0,-14.0,1
zombie0,11.0,27.28,-14.28,1
zombie0,11.5,27.35,-14.35,1
