
zombie0,0.0,-0.5,-3.0
zombie0,0.5,0.2,-3.0
zombie0,1.0,0.9,-3.0
zombie0,1.5,1.6,-3.0
zombie0,1.8,2.0,-3.0
zombie0,2.0,2.3,-3.0
zombie0,2.5,3.0,-3.0
zombie0,3.0,3.7,-3.0
zombie0,3.2,4.0,-3.0
zombie0,3.5,4.4,-3.0
zombie0,3.93,5.0,-3.0
zombie0,4.0,5.1,-3.0
zombie0,4.5,5.8,-3.0
zombie0,4.6,6.0,-3.0
zombie0,5.0,6.5,-3.0
zombie0,5.36,7.0,-3.0
zombie0,5.5,7.2,-3.0
zombie0,6.0,7.9,-3.0
zombie0,6.5,8.6,-3.0
zombie0,6.8,9.0,-3.0
zombie0,7.0,9.3,-3.0
zombie0,7.5,10.0,-3.0
zombie0,8.0,10.7,-3.0
zombie0,8.2,11.0,-3.0
zombie0,8.5,11.4,-3.0
zombie0,8.93,12.0,-3.0
zombie0,9.0,12.1,-3.0
zombie0,9.5,12.8,-3.0
zombie0,9.6,13.0,-3.0
zombie0,10.0,13.5,-3.0
zombie0,10.36,14.0,-3.0
zombie0,10.5,14.2,-3.0
zombie0,11.0,14.9,-3.0
zombie0,11.5,15.6,-3.0
zombie0,11.8,16.0,-3.0
zombie0,12.0,16.3,-3.0
zombie0,12.5,17.0,-3.0
zombie0,13.0,17.7,-3.0
zombie0,13.2,18.0,-3.0
zombie0,13.5,18.4,-3.0
zombie0,13.93,19.0,-3.0
zombie0,14.0,19.1,-3.0
zombie0,14.5,19.5,-3.0
