zombie0,0,0,2,-0.5,0.14
zombie0,0.5,0.14,1.86,1.445060552,1.21
zombie0,1,0.93,3.07,1.445060552,1.21
zombie0,1.5,1.72,4.28,0.395979797,0.28
zombie0,1.8,2,4,0.3,0.3
zombie0,2,2.3,4,0.7,0.7
zombie0,2.5,3,4,0.7,0.7
zombie0,3,3.7,4,0.3,0.3
zombie0,3.2,4,4,0.4,0.4
zombie0,3.5,4.4,4,0.6,0.6
zombie0,3.93,5,4,0.1,0.1
zombie0,4,5.1,4,0.7,0.7
zombie0,4.5,5.8,4,0.2,0.2
zombie0,4.6,6,4,0.5,0.5
zombie0,5,6.5,4,0.5,0.5
zombie0,5.36,7,4,0.2,0.2
zombie0,5.5,7.2,4,0.7,0.7
zombie0,6,7.9,4,0.7,0.7
zombie0,6.5,8.6,4,0.4,0.4
zombie0,6.8,9,4,0.3,0.3
zombie0,7,9.3,4,0.7,0.7
zombie0,7.5,10,4,0.7,0.7
zombie0,8,10.7,4,0.3,0.3
zombie0,8.2,11,4,0.4,0.4
zombie0,8.5,11.4,4,0.6,0.6
zombie0,8.93,12,4,0.1,0.1
zombie0,9,12.1,4,0.7,0.7
zombie0,9.5,12.8,4,0.2,0.2
zombie0,9.6,13,4,0.5,0.5
zombie0,10,13.5,4,0.5,0.5
zombie0,10.36,14,4,0.2,0.2
zombie0,10.5,14.2,4,0.7,0.7
zombie0,11,14.9,4,0.7,0.7
zombie0,11.5,15.6,4,0.4,0.4
zombie0,11.8,16,4,0.3,0.3
zombie0,12,16.3,4,0.7,0.7
zombie0,12.5,17,4,0.7,0.7
zombie0,13,17.7,4,0.3,0.3
zombie0,13.2,18,4,0.4,0.4
zombie0,13.5,18.4,4,0.6,0.6
zombie0,13.93,19,4,0.1,0.1
zombie0,14,19.1,4,0.4,0.4
zombie0,14.5,19.5,4,,
,,,,20.2861009,20.34
