1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0
1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0
1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0
2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,1888.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,1888.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0
2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2360.0,2360.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,2360.0,2360.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0
3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,2950.0,2950.0,2950.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,102.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,102.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,2950.0,2950.0,2950.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0
4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,3688.0,3688.0,3688.0,2950.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,128.0,102.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,102.0,128.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,2950.0,3688.0,3688.0,3688.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0
5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,4610.0,4610.0,4610.0,3688.0,2950.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,160.0,128.0,102.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,102.0,128.0,160.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,2950.0,3688.0,4610.0,4610.0,4610.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0
7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,5763.0,5763.0,5763.0,4610.0,3688.0,2950.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,201.0,160.0,128.0,102.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,102.0,128.0,160.0,201.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,2950.0,3688.0,4610.0,5763.0,5763.0,5763.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0
9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,7204.0,7204.0,7204.0,5763.0,4610.0,3688.0,2950.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,252.0,201.0,160.0,128.0,102.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,102.0,128.0,160.0,201.0,252.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,2950.0,3688.0,4610.0,5763.0,7204.0,7204.0,7204.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0
