n,t,x,y,p
zombie0,0.0,4.5,-39.0,1
zombie0,0.5,4.0,-38.8,1
zombie0,1.0,4.0,-38.1,1
zombie0,1.5,4.0,-37.4,1
zombie0,1.8,4.0,-37.0,1
zombie0,2.0,4.0,-36.7,1
zombie0,2.5,4.0,-36.0,1
zombie0,3.0,4.0,-35.3,1
zombie0,3.2,4.0,-35.0,1
zombie0,3.5,4.0,-34.6,1
zombie0,3.93,4.0,-34.0,1
zombie0,4.0,4.0,-33.9,1
zombie0,4.5,4.0,-33.2,1
zombie0,4.6,4.0,-33.0,1
zombie0,5.0,4.0,-32.5,1
zombie0,5.36,4.0,-32.0,1
zombie0,5.5,4.0,-31.8,1
zombie0,6.0,4.0,-31.1,1
zombie0,6.5,4.0,-30.4,1
zombie0,6.8,4.0,-30.0,1
zombie0,7.0,4.0,-29.7,1
zombie0,7.5,4.0,-29.0,1
zombie0,8.0,4.0,-28.3,1
zombie0,8.2,4.0,-28.0,1
zombie0,8.5,4.0,-27.6,1
zombie0,8.93,4.0,-27.0,1
zombie0,9.0,4.0,-26.9,1
zombie0,9.5,4.0,-26.2,1
zombie0,9.6,4.0,-26.0,1
zombie0,10.0,4.0,-25.5,1
zombie0,10.36,4.0,-25.0,1
zombie0,10.5,4.14,-24.86,1
zombie0,11.0,4.93,-24.07,1
zombie0,11.5,5.72,-23.28,1
zombie0,11.8,6.0,-23.0,1
zombie0,12.0,6.21,-22.79,1
zombie0,12.5,7.0,-22.0,1
zombie0,13.0,7.79,-21.21,1
zombie0,13.2,8.0,-21.0,1
zombie0,13.5,8.4,-21.0,1
zombie0,13.93,9.0,-21.0,1
zombie0,14.0,9.1,-21.0,1
zombie0,14.5,9.8,-21.0,1
zombie0,14.6,10.0,-21.0,1
zombie0,15.0,10.5,-21.0,1
zombie0,15.36,11.0,-21.0,1
zombie0,15.5,11.2,-21.0,1
zombie0,16.0,11.9,-21.0,1
zombie0,16.5,12.6,-21.0,1
zombie0,16.8,13.0,-21.0,1
zombie0,17.0,13.3,-21.0,1
zombie0,17.5,14.0,-21.0,1
zombie0,18.0,14.7,-21.0,1
zombie0,18.2,15.0,-21.0,1
zombie0,18.5,15.4,-21.0,1
zombie0,18.93,16.0,-21.0,1
zombie0,19.0,16.1,-21.0,1
zombie0,19.5,16.8,-21.0,1
zombie0,19.6,17.0,-21.0,1
zombie0,20.0,17.35,-20.65,1
zombie0,20.36,18.0,-20.0,1
zombie0,20.5,18.14,-19.86,1
zombie0,21.0,18.93,-19.07,1
zombie0,21.5,19.72,-18.28,1
zombie0,21.8,20.0,-18.0,1
zombie0,22.0,20.21,-17.79,1
zombie0,22.5,21.0,-17.0,1
zombie0,23.0,21.79,-16.21,1
zombie0,23.2,22.0,-16.0,1
zombie0,23.5,22.0,-15.6,1
zombie0,23.93,22.0,-15.0,1
zombie0,24.0,22.0,-14.9,1
zombie0,24.5,22.0,-14.2,1
zombie0,24.6,22.0,-14.0,1
zombie0,25.0,22.0,-13.5,1
zombie0,25.36,22.0,-13.0,1
zombie0,25.5,22.0,-12.8,1
zombie0,26.0,22.0,-12.1,1
zombie0,26.5,22.0,-11.4,1
zombie0,26.8,22.0,-11.0,1
zombie0,27.0,22.21,-10.79,1
zombie0,27.5,23.0,-10.0,1
zombie0,28.0,23.79,-9.21,1
zombie0,28.2,24.0,-9.0,1
zombie0,28.5,24.28,-8.72,1
zombie0,28.93,25.0,-8.0,1
zombie0,29.0,25.07,-7.93,1
zombie0,29.5,25.86,-7.14,1
zombie0,29.6,26.0,-7.0,1
zombie0,30.0,26.35,-6.65,1
zombie0,30.36,27.0,-6.0,1
zombie0,30.5,27.14,-5.86,1
zombie0,31.0,27.93,-5.07,1
zombie0,31.5,28.72,-4.28,1
zombie0,31.8,29.0,-4.0,1
zombie0,32.0,29.3,-4.0,1
zombie0,32.5,30.0,-4.0,1
zombie0,33.0,30.7,-4.0,1
zombie0,33.2,31.0,-4.0,1
zombie0,33.5,31.4,-4.0,1
zombie0,33.93,32.0,-4.0,1
zombie0,34.0,32.1,-4.0,1
zombie0,34.5,32.8,-4.0,1
zombie0,34.6,33.0,-4.0,1
zombie0,35.0,33.5,-4.0,1
zombie0,35.36,34.0,-4.0,1
zombie0,35.5,34.2,-4.0,1
zombie0,36.0,34.9,-4.0,1
zombie0,36.5,35.6,-4.0,1
zombie0,36.8,36.0,-4.0,1
zombie0,37.0,36.3,-4.0,1
zombie0,37.5,37.0,-4.0,1
zombie0,38.0,37.7,-4.0,1
zombie0,38.2,38.0,-4.0,1
zombie0,38.5,38.28,-3.72,1
zombie0,38.93,39.0,-3.0,1
zombie0,39.0,39.07,-2.93,1
zombie0,39.5,39.86,-2.14,1
zombie0,39.6,40.0,-2.0,1
zombie0,40.0,40.35,-1.65,1
zombie0,40.36,41.0,-1.0,1
zombie0,40.5,41.14,-0.86,1
zombie0,41.0,41.93,-0.07,1
zombie0,41.1,42.0,0.0,1
zombie0,41.5,42.35,0.35,1
